Country,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
Afghanistan,0.290025,0.235439,0.145284,0.0755688,0.0522196,0.0408578,0.0305346,0.0252228,0.0161856,0.0302323,0.0379246,0.0416474,0.0541676,0.0586065,0.0651148,0.072147,0.08008,0.0906159,0.103278,0.197713,0.228187,0.247511,0.260374,0.282406,0.279035,0.304391,0.238812,0.206086,0.166306,0.15303,0.133543,0.169006,0.163631,0.183428,0.155192,0.169447,0.156258,0.13698,0.131635,0.167426,0.151798,0.0878369,0.117027,0.125559,0.109385,0.103269,0.0879576,0.0757782,0.0754115,0.0548808,0.0472248
Albania,1.49932,1.3451,1.41767,1.37908,1.30222,1.42135,1.38186,1.41547,1.22937,1.05195,0.978175,0.960164,0.560271,0.490365,0.636625,0.654537,0.601347,0.726063,0.735198,1.21568,2.27839,2.78324,2.3316,2.41406,2.66536,2.65802,2.69429,2.68324,2.62486,2.69302,1.93506,2.89821,2.53063,2.27588,2.01358,1.91063,1.84901,2.3039,2.51591,1.9895,1.75324,1.55897,1.51955,1.36375,1.33306,1.1661,1.11174,1.18168,1.43996,1.37419,1.25819
Algeria,3.33151,3.42427,3.20835,3.2008,3.01279,3.15444,2.67452,2.80374,2.78923,2.62186,2.77215,2.94532,3.47432,2.90637,3.23559,3.23014,3.00321,2.92904,2.98752,3.02892,3.00672,3.12969,3.37076,3.47238,3.24041,3.18575,3.21,2.45301,1.89102,2.30994,3.41559,2.41577,3.41123,2.35234,2.26272,1.90283,1.94853,2.40423,1.8276,1.23648,1.02615,0.78926,0.65249,0.62545,0.642421,0.516552,0.454132,0.447181,0.478617,0.524643,0.546258
Angola,1.55597,1.47074,1.45223,1.41999,1.3004,1.15788,1.1763,0.58782,0.850822,0.67654,0.685212,0.677726,0.556294,0.577081,0.842542,0.90971,0.331307,0.510123,0.401602,0.409979,0.428663,0.498364,0.523587,0.608289,0.500045,0.518676,0.570206,0.602538,0.567729,0.668257,0.700064,0.743886,0.753363,0.505753,0.482561,0.665157,0.752617,0.771901,0.729145,0.563761,0.604353,0.479076,0.292571,0.176836,0.281329,0.21865,0.229364,0.21953,0.229273,0.0899221,0.110763
Antigua and Barbuda,5.88516,5.77882,5.3706,5.25738,5.09629,4.97431,4.981,4.80448,4.53621,4.36481,4.43924,4.58128,4.4969,4.67056,4.59386,4.7213,4.68362,4.74854,4.62465,4.70038,4.85727,4.61578,4.57364,4.33219,3.8597,3.79283,2.19374,1.24108,4.25468,1.52463,2.0343,5.76924,6.96911,6.63186,5.78043,10.2195,6.2492,4.85538,5.56557,6.41219,7.06821,19.559,15.6719,9.10806,5.72799,2.52036,1.56709,1.47018,1.82337,0.860441,0.670617
Arab World,4.60441,4.48077,4.44294,4.22537,4.34822,4.26159,4.14493,3.85252,3.60899,3.62386,3.77468,3.38437,3.3993,3.20229,3.3935,3.49804,3.75505,3.73195,3.49618,3.29174,3.2067,3.27118,3.30353,3.20098,3.28308,3.05711,2.97323,2.80484,2.70889,2.91205,3.07133,2.84193,2.74034,2.6269,2.56223,2.17707,2.264,2.38478,2.09736,1.97981,1.78711,1.77408,1.53043,1.31819,1.25954,1.1537,0.988815,0.865748,0.752852,0.677902,0.63679
Argentina,4.47096,4.48832,4.79021,4.58709,4.4689,4.16458,4.07662,3.50607,3.27596,3.55835,3.8229,3.98439,3.81269,3.77347,3.66429,3.51813,3.58584,3.49241,3.62304,3.53804,3.45177,3.63971,3.83037,3.67761,3.38391,3.3156,3.56423,3.57439,3.56769,3.57412,3.86689,3.9963,3.76063,3.74831,3.76782,3.64134,3.7264,3.7305,3.63744,3.64945,3.45037,3.27492,2.96883,2.85701,2.7914,2.64048,2.53722,2.31539,2.52149,2.4419,2.36691
Australia,16.9337,18.214,18.2423,18.1123,17.9349,17.7832,17.3275,17.4149,17.3525,16.7341,17.209,17.1998,18.5406,18.0172,17.9815,17.0116,17.0237,17.1006,16.8309,16.2885,16.8374,16.5199,15.7962,15.747,14.9806,15.3084,15.221,14.6401,15.4249,15.4325,15.0249,14.1291,14.0699,13.2319,12.4168,12.6599,12.5597,12.7797,11.9516,11.8091,11.8029,11.6006,11.2102,10.9556,10.3281,10.6223,9.75907,9.22644,8.83569,8.64157,8.58294
Austria,7.97365,7.44291,8.18869,8.32948,8.65501,9.02284,8.7942,8.90446,8.31227,8.17134,7.95048,7.98247,8.21959,8.01968,7.91866,7.7665,7.69938,7.62517,7.72152,8.45952,7.90918,7.10245,7.03203,7.62342,7.1443,7.23077,7.21428,6.87437,7.11212,7.41616,6.92848,8.15885,7.60137,7.42806,7.72125,7.17684,7.5627,7.93087,7.44852,6.95365,6.78881,6.00633,5.71111,5.41774,5.36172,5.2522,5.391,5.15519,4.75536,4.49636,4.37332
Bahamas The,6.83561,4.63428,3.00022,4.52413,4.53428,4.85831,5.34581,4.80996,5.1023,5.1797,5.60347,5.7109,5.79281,4.75561,5.88162,6.01019,6.11566,6.27612,6.73876,6.82554,7.61044,7.7311,6.22065,5.84558,5.90376,6.43761,8.06691,8.95645,10.2715,13.0062,37.9303,33.6376,32.7919,49.2981,33.5135,43.7014,39.9196,43.3803,36.496,38.7228,15.2001,10.627,10.287,11.1735,7.46608,9.39995,8.1186,5.5582,5.99643,4.7467,3.74983
Bahrain,19.3384,20.284,21.7745,21.6961,20.5031,21.8385,21.3404,21.3306,21.4301,19.9317,27.8987,28.1156,29.8034,28.991,26.9476,28.4199,27.7778,28.2635,20.2588,22.5714,23.9639,24.3963,26.1437,25.4563,25.4031,24.3053,22.6113,20.7562,25.4918,22.7886,21.9163,23.7244,24.0075,24.6332,23.164,21.5741,21.4372,23.0239,16.036,13.7674,12.1659,6.16291,5.49266,5.12101,3.38436,6.55702,8.74748,6.71416,9.19361,10.5474,3.54286
Barbados,5.36195,5.82239,5.89078,5.16316,4.98852,4.9462,4.75543,4.68455,4.55783,4.55136,4.44668,4.54553,4.29754,3.40915,3.22393,3.14913,2.85042,4.25949,3.75183,4.63704,4.14301,3.83098,3.67416,3.67415,3.58876,3.33031,2.95454,2.72137,2.57354,2.74626,2.7121,2.42402,2.54743,2.38892,2.15674,2.31368,2.01011,1.9771,2.08139,2.01799,1.79803,2.02111,1.85673,1.42669,1.13459,0.872746,0.766311,0.816564,1.11975,0.83917,0.746558
Belgium,9.97654,9.65074,9.6996,9.71372,10.1284,10.3568,10.6785,11.0673,10.4068,11.1569,11.2873,11.3279,11.6813,11.4225,11.778,11.1452,11.2012,10.8012,11.386,11.7526,10.8825,10.8135,10.1351,10.4472,10.4308,10.5948,10.6962,10.3113,11.9267,12.5788,13.7226,14.2392,13.8071,12.8754,13.2417,12.4583,13.837,14.2555,13.4727,12.5634,13.0102,12.8154,12.3257,11.2173,11.042,11.1417,11.0537,11.3869,10.6412,10.1039,9.94159
Belize,1.36653,1.37657,1.38663,1.4863,1.45899,1.45644,1.43891,1.4478,1.42738,2.90132,2.88951,2.59375,1.64547,1.77909,1.4504,1.82498,1.84847,1.90354,1.82509,1.87788,1.66191,1.63984,1.39378,1.30476,1.21118,1.15625,1.07488,1.10608,1.13763,1.24249,1.32281,1.47917,1.55681,1.44548,1.30242,1.32084,1.17294,1.13447,1.24014,1.14601,0.99044,1.13767,0.884673,1.07375,0.7378,0.794763,0.818289,0.622357,0.715409,0.387219,0.477951
Benin,0.545627,0.514686,0.500605,0.516729,0.459044,0.293096,0.317047,0.302806,0.276951,0.242255,0.232704,0.231755,0.185409,0.191383,0.204833,0.221772,0.218621,0.202977,0.16841,0.159911,0.142977,0.132691,0.119745,0.118573,0.156999,0.173631,0.123291,0.114216,0.127788,0.112249,0.139065,0.10134,0.103039,0.0865397,0.077823,0.135983,0.127816,0.122623,0.127892,0.0987099,0.097105,0.0708499,0.0552308,0.0523196,0.0423949,0.0571149,0.055295,0.0475797,0.0542015,0.0520458,0.0663541
Bermuda,7.32004,7.09533,5.95502,7.9683,8.07021,6.91628,10.5281,8.04916,8.33515,7.92021,8.00616,8.07775,7.58154,7.87989,7.92812,7.79481,7.97443,8.15442,6.94662,8.63613,10.0752,13.3366,11.1241,9.9521,7.41299,7.92719,7.86394,8.06438,7.14235,7.06089,7.98195,8.58814,7.93604,8.51513,8.82286,8.64858,8.30912,7.90654,4.66832,4.23115,4.13371,3.667,4.22051,4.09012,3.95461,3.58649,4.12444,3.15193,3.38371,3.86848,3.55137
Bolivia,1.52181,1.44171,1.40056,1.31841,1.56661,1.3175,1.42408,1.56696,1.08185,1.13321,1.20345,1.23902,1.26699,1.23359,1.11885,1.23428,1.19338,1.1022,0.933314,0.830733,0.810146,0.752669,0.664777,0.636534,0.610728,0.682924,0.684906,0.744514,0.772707,0.87187,0.869469,0.903503,0.981617,0.895862,0.937718,0.851346,0.755715,0.761637,0.80639,0.708566,0.589538,0.619011,0.54173,0.481719,0.440442,0.402769,0.404046,0.338592,0.313828,0.303777,0.299648
Brazil,2.15027,1.89749,2.02161,1.91168,1.84798,1.86582,1.83591,1.76955,1.85217,1.90675,1.87951,1.8614,1.84271,1.80049,1.73234,1.59581,1.51885,1.46957,1.42761,1.44151,1.39585,1.45517,1.44936,1.46388,1.43058,1.33053,1.26576,1.27731,1.35014,1.37874,1.5368,1.58355,1.52311,1.43635,1.40021,1.39683,1.35729,1.2832,1.13441,1.04275,0.976069,0.899748,0.84727,0.743305,0.741503,0.668392,0.691757,0.698334,0.694763,0.656155,0.644558
